_id,type,file_url,yoruba_text,audio_gender,source,file_type,file_size,english_text,duration,translation_verified,uploaded_by
67387c1c45317b996fc3ee32,annotations,,"Bí ẹgbẹ́ òṣèlú kan tilẹ̀ tako èsì ìdìbò ọ̀hún, síbẹ̀, èto jíjíwé oyè àti ìbúrawọlé fún Ọ̀mọ̀wé Olúfúnmiláyọ̀ kò yẹ̀ rárá.",,Bible,text,,"Even if a political party objected to the result of that election, still, the system of giving a title and signature to Olufunmilayo Scholar is not appropriate at all.",,True,Alaran
67387c1c45317b996fc3ee47,annotations,,"Ní Tuesday, May 7, 2019, Ilé Ẹjọ́ Agbègbè Oryol bẹ̀rẹ̀ ẹjọ́ kòtẹ́milọ́rùn tí Dennis Christensen pè torí bí wọ́n ṣe rán an lẹ́wọ̀n ọdún mẹ́fà nítorí ohun tó gbà gbọ́.",,Bible,text,,"On Tuesday, May 7, 2019, at the Oryol Regional Court, the hearing began for Dennis Christensen to appeal the six-year prison sentence he received for practicing his faith.",,True,Alaran
67387c1c45317b996fc3ee2b,annotations,,"Lẹ́yìn náà, Ọlọ́run wá sọ pé: Kí ilẹ̀ mú àwọn ohun alààyè jáde ní irú tiwọn, àwọn ẹran ọ̀sìn, àwọn ẹran tó ń rákò àti àwọn ẹran inú igbó ní irú tiwọn, Ó sì rí bẹ́ẹ̀.",,Bible,text,,"Then God said: Let the earth bring forth living creatures according to their kinds, domestic animals and creeping animals and wild animals of the earth according to their kinds, And it was so.",,True,Alaran
67387c1c45317b996fc3ee36,annotations,,"Ká má ṣẹ̀ṣẹ̀ wá sọ ti ẹni kíkú, tó jẹ́ ìdin Àti ọmọ èèyàn, tó jẹ́ kòkòrò mùkúlú.",,Bible,text,,"How much less so mortal man, who is a maggot, And a son of man, who is a worm.",,True,Alaran
67387c1c45317b996fc3ee56,annotations,,"Ní báyìí, Real Madrid yóò kojú ikọ̀ agbábọ́ọ̀lù tí ó bá jáwé olúborí nínú ikọ̀ agbábọ́ọ̀lù AS Roma tabi Liverpool, èyí tí yóò wáyé ní pápá ìṣeré Stadio Olympico nílùú Rome ní àṣálẹ́ ọjọ́rú.",,Bible,text,,"Real Madrid will meet the winner of the AS Roma or Liverpool clash, which will be played at the Stadio Olympico on Wednesday in Rome.",,True,Alaran
67387c1c45317b996fc3ee30,annotations,,"Oriṣiriṣi ewé ló wà ni ilẹ̀ Yorùbá ti wọn fi má ńpọ́n oúnjẹ bi: ẹ̀kọ, ọ̀ọ̀lẹ̀/mọ́in-mọ́in, irẹsi sisè ọ̀fadà, obì àti bẹ̃bẹ lọ.",,Bible,text,,"There are different types of vegetables in Yoruba land that they use to cook food such as: , pap, bean puddle, cooked rice ofada, obi and so on.",,True,Alaran
67387c1c45317b996fc3ee31,annotations,,"Bákan náà, mò ń sọ fún ọ pé: Ìwọ ni Pétérù, orí àpáta yìí sì ni màá kọ́ ìjọ mi sí, àwọn ibodè Isà Òkú kò sì ní borí rẹ̀.",,Bible,text,,"Also, I say to you: You are Peter, and on this rock I will build my congregation, and the gates of the Grave will not overpower it.",,True,Alaran
67387c1c45317b996fc3ee3c,annotations,,Ìwádìí fi hàn pé ìgbà díẹ̀ ni àwọn èèyàn ń lò nílé ìdáná.,,Bible,text,,Studies have shown that people are spending less and less time in the kitchen.,,True,Alaran
67387c1c45317b996fc3ee45,annotations,,Lójúnà àti mú ìdàgbàsékè bá ètò lílọ bíbọ̀ ọkọ̀ ojú omi ní ìrọ̀rùn ló mú Nigeria Maritime Administràtion and safety Agency (NIMASA) ṣe ìfilọ́lẹ̀ àwọn ọkọ̀ ńlá-nlá ayára bí àṣá lórí omi tó jẹ́ ti àwọn Apẹja tó sì ní ohun èlò ìgbàlódé nínú láti mú ìdàgbàsókè bá ẹ̀ka yìí.,,Bible,text,,"As part of efforts to enhance the gredibility and intergrity o the Nigerian Ship Registry, the Nigerian Maritime Administration and Safety Agency, NIMASA, has unveiled new certificates for fishing vessels, cabotage bare boat charger vessels and cabotage wholly Nigerian vessels.",,True,Alaran
67387c1c45317b996fc3ee46,annotations,,"Ìwọ ni wọ́n ké pè, o sì gbà wọ́n; Wọ́n gbẹ́kẹ̀ lé ọ, o ò sì já wọn kulẹ̀.",,Bible,text,,"To you they cried out, and they were saved; They trusted in you, and they were not disappointed.",,True,Alaran
67387c1c45317b996fc3ee4e,annotations,,"Àmọ́ ẹ ti sún mọ́ Òkè Síónì àti ìlú Ọlọ́run alààyè, Jerúsálẹ́mù ti ọ̀run àti ọ̀kẹ́ àìmọye àwọn áńgẹ́lì.",,Bible,text,,"But you have approached a Mount Zion and a city of the living God, heavenly Jerusalem, and myriads of angels.",,True,Alaran
